,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
822,"Good people to work with\, very professional. Seems to be re bounding under jes though recent events involving him are a bit of a set back Many org changes done sometimes multiple per year which is not great for job continuity and stability. Not the best remuneration",good peopl work profession seem re bound je though recent event involv bit set back mani org chang done sometim multipl per year great job continu stabil best remuner,good peopl to work with veri profession seem to be re bound under je though recent event involv him are a bit of a set back mani org chang done sometim multipl per year which is not great for job continu and stabil not the best remuner,good people work professional seem re bound jes though recent event involve bit set back many org change do sometimes multiple per year great job continuity stability best remuneration,good people to work with very professional seem to be re bound under jes though recent event involve him be a bit of a set back many org change do sometimes multiple per year which be not great for job continuity and stability not the best remuneration,NEUTRAL
823,"Great culture (more relaxed than other banks)\, high quality clients and deal flow\, excellent compensation in line with industry averages.",great cultur relax bank high qualiti client deal flow excel compens line industri averag,great cultur lrb more relax than other bank rrb high qualiti client and deal flow excel compens in line with industri averag,great culture relax bank high quality client deal flow excellent compensation line industry average,great culture lrb more relax than other bank rrb high quality client and deal flow excellent compensation in line with industry average,POSITIVE
824,Learn something new every day; develop huge resilience and tenacity; recruits top talent; people want to do the right thing every day; high on behaviours,learn someth new everi day develop huge resili tenac recruit top talent peopl want right thing everi day high behaviour,learn someth new everi day develop huge resili and tenac recruit top talent peopl want to do the right thing everi day high on behaviour,learn something new every day develop huge resilience tenacity recruit top talent people want right thing every day high behaviour,learn something new every day develop huge resilience and tenacity recruit top talent people want to do the right thing every day high on behaviour,POSITIVE
825,"Pay\, favoritism\, lack of professionalism\, and difficult to receive honest information\, call center environment contrary to what is told to you in interviews",pay favorit lack profession difficult receiv honest inform call center environ contrari told interview,pay favorit lack of profession and difficult to receiv honest inform call center environ contrari to what is told to you in interview,pay favoritism lack professionalism difficult receive honest information call center environment contrary tell interview,pay favoritism lack of professionalism and difficult to receive honest information call center environment contrary to what be tell to you in interview,NEGATIVE
826,Lack of understanding managing a U.S. capital markets business by British parent,lack understand manag us capit market busi british parent,lack of understand manag a US capit market busi by british parent,lack understand manage u capital market business british parent,lack of understand manage a u capital market business by british parent,NEGATIVE
827,"Good benefits/competitive salary - 401K (match after 3 years)\, excellent healthcare\, discounted Barclays stock purchase",good benefitscompetit salari k match year excel healthcar discount barclay stock purchas,good benefitscompetit salari K lrb match after year rrb excel healthcar discount barclay stock purchas,good benefitscompetitive salary k match year excellent healthcare discount barclays stock purchase,good benefitscompetitive salary k lrb match after year rrb excellent healthcare discount barclays stock purchase,POSITIVE
828,"Good opportunities and internal mobility. Plenty of good people and helpful course work and training always available online per barclays websites Difficult to get raises even with promotions\, only real way to get bumps are to leave or produce offer letter",good opportun intern mobil plenti good peopl help cours work train alway avail onlin per barclay websit difficult get rais even promot real way get bump leav produc offer letter,good opportun and intern mobil plenti of good peopl and help cours work and train alway avail onlin per barclay websit difficult to get rais even with promot onli real way to get bump are to leav or produc offer letter,good opportunity internal mobility plenty good people helpful course work train always available online per barclays website difficult get raise even promotion real way get bump leave produce offer letter,good opportunity and internal mobility plenty of good people and helpful course work and train always available online per barclays website difficult to get raise even with promotion only real way to get bump be to leave or produce offer letter,NEUTRAL
829,The culture is very collaborative. It is a top 5 bulge bracket banks for most of its banking groups. You get decent deal experience at the junior level.,cultur collabor top bulg bracket bank bank group get decent deal experi junior level,the cultur is veri collabor It is a top bulg bracket bank for most of it bank group you get decent deal experi at the junior level,culture collaborative top bulge bracket bank bank group get decent deal experience junior level,the culture be very collaborative it be a top bulge bracket bank for most of it bank group you get decent deal experience at the junior level,POSITIVE
830,"Fantastic training (Lehman)\, excellent global opportunities\, world wide brand\, work on all types of transactions. Fantastic colleagues and good mid level mentors from associate through to MD.",fantast train lehman excel global opportun world wide brand work type transact fantast colleagu good mid level mentor associ md,fantast train lrb lehman rrb excel global opportun world wide brand work on all type of transact fantast colleagu and good mid level mentor from associ through to MD,fantastic train lehman excellent global opportunity world wide brand work type transaction fantastic colleague good mid level mentor associate md,fantastic train lrb lehman rrb excellent global opportunity world wide brand work on all type of transaction fantastic colleague and good mid level mentor from associate through to md,POSITIVE
831,"Well established global company\, with offices throughout the US. In the last 10 years\, senior management has changed several times. Constantly restructuring! There are no more mid level managers...VPs and Senior VPs have all been laid off.",well establish global compani offic throughout us last year senior manag chang sever time constantli restructur mid level manag vp senior vp laid,well establish global compani with offic throughout the US In the last year senior manag ha chang sever time constantli restructur there are no more mid level manag vp and senior vp have all been laid off,well establish global company office throughout u last year senior management change several time constantly restructure mid level manager vps senior vps lay,well establish global company with office throughout the u in the last year senior management ha change several time constantly restructure there be no more mid level manager vps and senior vps have all be lay off,NEUTRAL
832,bad managers. sr management more worried about their jobs and bonuses than the firm long term,bad manag sr manag worri job bonus firm long term,bad manag sr manag more worri about their job and bonus than the firm long term,bad manager sr management worry job bonus firm long term,bad manager sr management more worry about their job and bonus than the firm long term,NEGATIVE
833,Enjoyed interacting with people great mentors and very strong culture. Great Branding and launching pad for career,enjoy interact peopl great mentor strong cultur great brand launch pad career,enjoy interact with peopl great mentor and veri strong cultur great brand and launch pad for career,enjoy interact people great mentor strong culture great brand launch pad career,enjoy interact with people great mentor and very strong culture great brand and launch pad for career,POSITIVE
834,"Work with very intelligent\, highly motivated individuals and you get exposure to some of the biggest companies in the world For a junior banker in Investment Banking coverage for every live transaction you do be prepared to work on 15 - 20 pitches which are equally as demanding as an actual transaction but not very interesting at all.",work intellig highli motiv individu get exposur biggest compani world junior banker invest bank coverag everi live transact prepar work pitch equal demand actual transact interest,work with veri intellig highli motiv individu and you get exposur to some of the biggest compani in the world for a junior banker in invest bank coverag for everi live transact you do be prepar to work on pitch which are equal as demand as an actual transact but not veri interest at all,work intelligent highly motivate individual get exposure biggest company world junior banker investment bank coverage every live transaction prepare work pitch equally demand actual transaction interest,work with very intelligent highly motivate individual and you get exposure to some of the biggest company in the world for a junior banker in investment bank coverage for every live transaction you do be prepare to work on pitch which be equally a demand a an actual transaction but not very interest at all,NEUTRAL
835,"Friendly working environment\, generous benefits\, solid mobility opportunities\, strong commitment to career and skills development and multi-cultural and diverse workforce",friendli work environ gener benefit solid mobil opportun strong commit career skill develop multicultur divers workforc,friendli work environ gener benefit solid mobil opportun strong commit to career and skill develop and multicultur and divers workforc,friendly work environment generous benefit solid mobility opportunity strong commitment career skill development multicultural diverse workforce,friendly work environment generous benefit solid mobility opportunity strong commitment to career and skill development and multicultural and diverse workforce,POSITIVE
836,"Great people to work with at my branch office. As to the corporate culture\, I particularly admire the importance the company places on volunteerism and giving back to the community.",great peopl work branch offic corpor cultur particularli admir import compani place volunteer give back commun,great peopl to work with at my branch offic As to the corpor cultur I particularli admir the import the compani place on volunteer and give back to the commun,great people work branch office corporate culture particularly admire importance company place volunteerism give back community,great people to work with at my branch office a to the corporate culture i particularly admire the importance the company place on volunteerism and give back to the community,POSITIVE
837,At the company I feel a great sense of responsibility for what I do. There is always a lot of growth within the company and great vacation time too!,compani feel great sens respons alway lot growth within compani great vacat time,At the compani I feel a great sens of respons for what I do there is alway a lot of growth within the compani and great vacat time too,company feel great sense responsibility always lot growth within company great vacation time,at the company i feel a great sense of responsibility for what i do there be always a lot of growth within the company and great vacation time too,POSITIVE
838,Big bank with lots of products to pitch clients Senior leadership was not good. Decisions out of U.K. Did not always work for US.,big bank lot product pitch client senior leadership good decis uk alway work us,big bank with lot of product to pitch client senior leadership wa not good decis out of UK did not alway work for US,big bank lot product pitch client senior leadership good decision uk always work u,big bank with lot of product to pitch client senior leadership be not good decision out of uk do not always work for u,NEGATIVE
839,Clueless CIO,clueless cio,clueless cio,clueless cio,clueless cio,NEGATIVE
840,"Market salary but bonuses for only a very very select few Don't try to be proactive or bring new ideas\, leave your MD alone and do your job and you'll be fine.",market salari bonus select nt tri proactiv bring new idea leav md alon job fine,market salari but bonus for onli a veri veri select few Do nt tri to be proactiv or bring new idea leav your MD alon and do your job and you ll be fine,market salary bonus select nt try proactive bring new idea leave md alone job fine,market salary but bonus for only a very very select few do nt try to be proactive or bring new idea leave your md alone and do your job and you ll be fine,NEUTRAL
841,There were some good managers. Co-workers friendly and supportive. Horrible technology. Horrible IT support. Managers were very reluctant to escalate negative issues effecting employees to senior staff.,good manag cowork friendli support horribl technolog horribl support manag reluct escal neg issu effect employe senior staff,there were some good manag cowork friendli and support horribl technolog horribl IT support manag were veri reluct to escal neg issu effect employe to senior staff,good manager coworkers friendly supportive horrible technology horrible support manager reluctant escalate negative issue effect employee senior staff,there be some good manager coworkers friendly and supportive horrible technology horrible it support manager be very reluctant to escalate negative issue effect employee to senior staff,NEUTRAL
842,The benefits used to be good among all investment banks. Lousy salary and bonus since LIBOR.,benefit use good among invest bank lousi salari bonu sinc libor,the benefit use to be good among all invest bank lousi salari and bonu sinc libor,benefit use good among investment bank lousy salary bonus since libor,the benefit use to be good among all investment bank lousy salary and bonus since libor,NEUTRAL
843,People are generally friendly and willing to help. Not too much ego compared to the traditional perception of investment bank. A good amount of repetitive work as an analyst. Hours are long like any other banking job. Deal flow is not the best.,peopl gener friendli will help much ego compar tradit percept invest bank good amount repetit work analyst hour long like bank job deal flow best,peopl are gener friendli and will to help not too much ego compar to the tradit percept of invest bank A good amount of repetit work as an analyst hour are long like ani other bank job deal flow is not the best,people generally friendly will help much ego compare traditional perception investment bank good amount repetitive work analyst hour long like bank job deal flow best,people be generally friendly and will to help not too much ego compare to the traditional perception of investment bank a good amount of repetitive work a an analyst hour be long like any other bank job deal flow be not the best,NEUTRAL
844,"Management is inconsistent\, legal department has very low moral and support by the business.",manag inconsist legal depart low moral support busi,manag is inconsist legal depart ha veri low moral and support by the busi,management inconsistent legal department low moral support business,management be inconsistent legal department ha very low moral and support by the business,NEGATIVE
845,"Good benefits\, good amount of vacation days\, good 401k plan\, good building infrastructure\, good employee perks",good benefit good amount vacat day good k plan good build infrastructur good employe perk,good benefit good amount of vacat day good k plan good build infrastructur good employe perk,good benefit good amount vacation day good k plan good build infrastructure good employee perk,good benefit good amount of vacation day good k plan good build infrastructure good employee perk,POSITIVE
846,Forward thinking and well balanced organization that excels in many areas of the financial services industry. Global reach and significant opportunities to grow a career at that firm.,forward think well balanc organ excel mani area financi servic industri global reach signific opportun grow career firm,forward think and well balanc organ that excel in mani area of the financi servic industri global reach and signific opportun to grow a career at that firm,forward think well balance organization excel many area financial service industry global reach significant opportunity grow career firm,forward think and well balance organization that excel in many area of the financial service industry global reach and significant opportunity to grow a career at that firm,POSITIVE
847,"Surrounded by smart people\, great training program\, ability to move across the bank",surround smart peopl great train program abil move across bank,surround by smart peopl great train program abil to move across the bank,surround smart people great train program ability move across bank,surround by smart people great train program ability to move across the bank,POSITIVE
848,Huge talent drain in the past 3-5 years. most top talent (usually from the Lehman business) have left the firm,huge talent drain past year top talent usual lehman busi left firm,huge talent drain in the past year most top talent lrb usual from the lehman busi rrb have left the firm,huge talent drain past year top talent usually lehman business left firm,huge talent drain in the past year most top talent lrb usually from the lehman business rrb have left the firm,NEGATIVE
849,Barclays is an overall good company to work for. There is much learning on a daily basis which is always good; in my experience compensation is okay.,barclay overal good compani work much learn daili basi alway good experi compens okay,barclay is an overal good compani to work for there is much learn on a daili basi which is alway good in my experi compens is okay,barclays overall good company work much learn daily basis always good experience compensation okay,barclays be an overall good company to work for there be much learn on a daily basis which be always good in my experience compensation be okay,POSITIVE
850,Regulation on European banks creates issues around job security. There are some guys who are only out for themselves. Bank has retention issues,regul european bank creat issu around job secur guy bank retent issu,regul on european bank creat issu around job secur there are some guy who are onli out for themselv bank ha retent issu,regulation european bank create issue around job security guy bank retention issue,regulation on european bank create issue around job security there be some guy who be only out for themselves bank ha retention issue,NEGATIVE
851,"Good internal mobility\, recently improving flexible work options\, nice people\, competitive pay for the most part\, overall a good experience Management changing very fast at various levels and of course new management implements new changes. It gets tiring after a while!",good intern mobil recent improv flexibl work option nice peopl competit pay part overal good experi manag chang fast variou level cours new manag implement new chang get tire,good intern mobil recent improv flexibl work option nice peopl competit pay for the most part overal a good experi manag chang veri fast at variou level and of cours new manag implement new chang It get tire after a while,good internal mobility recently improve flexible work option nice people competitive pay part overall good experience management change fast various level course new management implement new change get tire,good internal mobility recently improve flexible work option nice people competitive pay for the most part overall a good experience management change very fast at various level and of course new management implement new change it get tire after a while,NEUTRAL
852,No advancement. Management has their preferred picks and friends.. So advancement limited if your not in a certain click.,advanc manag prefer pick friend advanc limit certain click,No advanc manag ha their prefer pick and friend So advanc limit if your not in a certain click,advancement management prefer pick friend advancement limit certain click,no advancement management ha their prefer pick and friend so advancement limit if your not in a certain click,NEGATIVE
853,Not a lot of structure. Not consistent with bonus structure. Not very team oriented. Very individual based with doing your own work.,lot structur consist bonu structur team orient individu base work,not a lot of structur not consist with bonu structur not veri team orient veri individu base with do your own work,lot structure consistent bonus structure team orient individual base work,not a lot of structure not consistent with bonus structure not very team orient very individual base with do your own work,POSITIVE
854,Management needs to be more focused on career advancement for those that work within the organization. Pay scale and or raises have been flat for three years. Moral is horrible,manag need focus career advanc work within organ pay scale rais flat three year moral horribl,manag need to be more focus on career advanc for those that work within the organ pay scale and or rais have been flat for three year moral is horribl,management need focus career advancement work within organization pay scale raise flat three year moral horrible,management need to be more focus on career advancement for those that work within the organization pay scale and or raise have be flat for three year moral be horrible,NEGATIVE
855,Friendly supervisors. Great experience for a summer internship. Big name company on resume. Great balance between team research and intern projects.,friendli supervisor great experi summer internship big name compani resum great balanc team research intern project,friendli supervisor great experi for a summer internship big name compani on resum great balanc between team research and intern project,friendly supervisor great experience summer internship big name company resume great balance team research intern project,friendly supervisor great experience for a summer internship big name company on resume great balance between team research and intern project,POSITIVE
856,Bright people to work with but uninspiring management blunts the experience. It used to have a more collegial environment prior to the purchase of Lehman which completely changed the culture of the New York office for the worse. Senior management is not attuned to managing or motivating people.,bright peopl work uninspir manag blunt experi use collegi environ prior purchas lehman complet chang cultur new york offic wors senior manag attun manag motiv peopl,bright peopl to work with but uninspir manag blunt the experi It use to have a more collegi environ prior to the purchas of lehman which complet chang the cultur of the new york offic for the wors senior manag is not attun to manag or motiv peopl,bright people work uninspiring management blunt experience use collegial environment prior purchase lehman completely change culture new york office worse senior management attune manage motivate people,bright people to work with but uninspiring management blunt the experience it use to have a more collegial environment prior to the purchase of lehman which completely change the culture of the new york office for the worse senior management be not attune to manage or motivate people,NEUTRAL
857,"Good work life balance\, good culture and values\, Good New York location\, access to cafeteria and work gym",good work life balanc good cultur valu good new york locat access cafeteria work gym,good work life balanc good cultur and valu good new york locat access to cafeteria and work gym,good work life balance good culture value good new york location access cafeteria work gym,good work life balance good culture and value good new york location access to cafeteria and work gym,POSITIVE
858,"Compensation and resources available are excellent; many top-quality colleagues\, big brand name\, allows remote working",compens resourc avail excel mani topqual colleagu big brand name allow remot work,compens and resourc avail are excel mani topqual colleagu big brand name allow remot work,compensation resource available excellent many topquality colleague big brand name allow remote work,compensation and resource available be excellent many topquality colleague big brand name allow remote work,POSITIVE
859,very good people; flexible work env; encouraging managers,good peopl flexibl work env encourag manag,veri good peopl flexibl work env encourag manag,good people flexible work env encourage manager,very good people flexible work env encourage manager,POSITIVE
860,"Laid back environment\, smart people\, relatively progressive for a bank when it comes to technology.",laid back environ smart peopl rel progress bank come technolog,laid back environ smart peopl rel progress for a bank when it come to technolog,lay back environment smart people relatively progressive bank come technology,lay back environment smart people relatively progressive for a bank when it come to technology,POSITIVE
861,"Compensation is competitive with the industry\, albeit slightly lower than other bulge brackets. Compared to rest of the economy\, still quite high Management in state of flux. Very high turnover of junior bankers. Regulatory headwinds are material",compens competit industri albeit slightli lower bulg bracket compar rest economi still quit high manag state flux high turnov junior banker regulatori headwind materi,compens is competit with the industri albeit slightli lower than other bulg bracket compar to rest of the economi still quit high manag in state of flux veri high turnov of junior banker regulatori headwind are materi,compensation competitive industry albeit slightly lower bulge bracket compare rest economy still quite high management state flux high turnover junior banker regulatory headwind material,compensation be competitive with the industry albeit slightly lower than other bulge bracket compare to rest of the economy still quite high management in state of flux very high turnover of junior banker regulatory headwind be material,NEUTRAL
862,"I enjoyed the company of the people in my group. Health Insurance and perks were above average. That's twenty words. I had a very difficult time understanding the structure of the company\, the career paths that were available to me\, and what (if anything) was being done about the near-constant amount of work overages week in and week out.",enjoy compani peopl group health insur perk averag twenti word difficult time understand structur compani career path avail anyth done nearconst amount work overag week week,I enjoy the compani of the peopl in my group health insur and perk were abov averag that s twenti word I had a veri difficult time understand the structur of the compani the career path that were avail to me and what lrb if anyth rrb wa be done about the nearconst amount of work overag week in and week out,enjoy company people group health insurance perk average twenty word difficult time understand structure company career path available anything do nearconstant amount work overage week week,i enjoy the company of the people in my group health insurance and perk be above average that s twenty word i had a very difficult time understand the structure of the company the career path that be available to me and what lrb if anything rrb be be do about the nearconstant amount of work overage week in and week out,NEUTRAL
863,good benefits good pay great colleagues have to work some holidays forever changing reform . life to work balance . call out policy,good benefit good pay great colleagu work holiday forev chang reform life work balanc call polici,good benefit good pay great colleagu have to work some holiday forev chang reform life to work balanc call out polici,good benefit good pay great colleague work holiday forever change reform life work balance call policy,good benefit good pay great colleague have to work some holiday forever change reform life to work balance call out policy,NEUTRAL
864,"Good pay\, smart people\, lots of opportunity for mobility because so many people leave. Constant change and dysfunctional management. Inordinate amount of people who were permitted to make the lives of others miserable. In other organizations\, they would have been tossed. Here\, they thrive.",good pay smart peopl lot opportun mobil mani peopl leav constant chang dysfunct manag inordin amount peopl permit make live other miser organ toss thrive,good pay smart peopl lot of opportun for mobil becaus so mani peopl leav constant chang and dysfunct manag inordin amount of peopl who were permit to make the live of other miser In other organ they would have been toss here they thrive,good pay smart people lot opportunity mobility many people leave constant change dysfunctional management inordinate amount people permit make live others miserable organization toss thrive,good pay smart people lot of opportunity for mobility because so many people leave constant change and dysfunctional management inordinate amount of people who be permit to make the live of others miserable in other organization they would have be toss here they thrive,NEUTRAL
865,"Good Pay\, Good conference opportunities\, Good grad development programme\, Good mentorship\, Exposure to options.",good pay good confer opportun good grad develop programm good mentorship exposur option,good pay good confer opportun good grad develop programm good mentorship exposur to option,good pay good conference opportunity good grad development programme good mentorship exposure option,good pay good conference opportunity good grad development programme good mentorship exposure to option,POSITIVE
866,"Work environment is very good and respectful\, technology is not an issue\, collaboration among the teams is very good\, product management and client services are highlights. Management is very distant\, compensation is fairly frustrated and rigidity of promotions leaves employees not motivated. Ever-changing team brings further instability.",work environ good respect technolog issu collabor among team good product manag client servic highlight manag distant compens fairli frustrat rigid promot leav employe motiv everchang team bring instabl,work environ is veri good and respect technolog is not an issu collabor among the team is veri good product manag and client servic are highlight manag is veri distant compens is fairli frustrat and rigid of promot leav employe not motiv everchang team bring further instabl,work environment good respectful technology issue collaboration among team good product management client service highlight management distant compensation fairly frustrate rigidity promotion leaf employee motivate everchanging team bring instability,work environment be very good and respectful technology be not an issue collaboration among the team be very good product management and client service be highlight management be very distant compensation be fairly frustrate and rigidity of promotion leaf employee not motivate everchanging team bring further instability,NEUTRAL
867,"Senior management turnover is out of control\, no strategic direction. Long winded PowerPoint decks which ""Spin"" data and reality is the rule.",senior manag turnov control strateg direct long wind powerpoint deck spin data realiti rule,senior manag turnov is out of control no strateg direct long wind powerpoint deck which spin data and realiti is the rule,senior management turnover control strategic direction long wind powerpoint deck spin data reality rule,senior management turnover be out of control no strategic direction long wind powerpoint deck which spin data and reality be the rule,NEGATIVE
868,Good benefit are provided to employees.,good benefit provid employe,good benefit are provid to employe,good benefit provide employee,good benefit be provide to employee,POSITIVE
869,1) Good exposure to finance and use variety of technologies to work on.,good exposur financ use varieti technolog work,rrb good exposur to financ and use varieti of technolog to work on,good exposure finance use variety technology work,rrb good exposure to finance and use variety of technology to work on,POSITIVE
870,Amazing people. Always opportunities to get involved with something outside your day to day role. Too much upheaval in management and direction. Contact with remote teams can be challenging. No job security.,amaz peopl alway opportun get involv someth outsid day day role much upheav manag direct contact remot team challeng job secur,amaz peopl alway opportun to get involv with someth outsid your day to day role too much upheav in manag and direct contact with remot team can be challeng No job secur,amaze people always opportunity get involve something outside day day role much upheaval management direction contact remote team challenge job security,amaze people always opportunity to get involve with something outside your day to day role too much upheaval in management and direction contact with remote team can be challenge no job security,NEUTRAL
871,"Everything - Management can not move the needle\, Compensation is not competitive\, work life balance does not exist and management does not have any values",everyth manag move needl compens competit work life balanc exist manag valu,everyth manag can not move the needl compens is not competit work life balanc doe not exist and manag doe not have ani valu,everything management move needle compensation competitive work life balance exist management value,everything management can not move the needle compensation be not competitive work life balance do not exist and management do not have any value,NEGATIVE
872,You are given a lot of responsibility and you hit the ground running. Pay/perks are excellent and the company takes care of everything for you so you can focus on work.,given lot respons hit ground run payperk excel compani take care everyth focu work,you are given a lot of respons and you hit the ground run payperk are excel and the compani take care of everyth for you so you can focu on work,give lot responsibility hit grind run payperks excellent company take care everything focus work,you be give a lot of responsibility and you hit the grind run payperks be excellent and the company take care of everything for you so you can focus on work,POSITIVE
873,"Mismanaged\, everyone is unhappy and looking for a new job. Significant brain-drain ever since the Lehman acquisition. All the smart talent (ie ex Lehman people) left long ago.",mismanag everyon unhappi look new job signific braindrain ever sinc lehman acquisit smart talent ie ex lehman peopl left long ago,mismanag everyon is unhappi and look for a new job signific braindrain ever sinc the lehman acquisit all the smart talent lrb ie ex lehman peopl rrb left long ago,mismanage everyone unhappy look new job significant braindrain ever since lehman acquisition smart talent ie ex lehman people left long ago,mismanage everyone be unhappy and look for a new job significant braindrain ever since the lehman acquisition all the smart talent lrb ie ex lehman people rrb left long ago,NEGATIVE
874,I don't like getting paid less than I want to get paid. I think it would be better if I was paid more so that I could buy more stuff,nt like get paid less want get paid think better paid buy stuff,I do nt like get paid less than I want to get paid I think it would be better if I wa paid more so that I could buy more stuff,nt like get pay le want get pay think better pay buy stuff,i do nt like get pay le than i want to get pay i think it would be better if i be pay more so that i could buy more stuff,NEGATIVE
875,Lack of stability. The constant shifting of priorities coupled with the never ending cycle of cuts in resources makes for a very challenging environment,lack stabil constant shift prioriti coupl never end cycl cut resourc make challeng environ,lack of stabil the constant shift of prioriti coupl with the never end cycl of cut in resourc make for a veri challeng environ,lack stability constant shift priority couple never end cycle cut resource make challenge environment,lack of stability the constant shift of priority couple with the never end cycle of cut in resource make for a very challenge environment,NEGATIVE
876,"Good people\, good work environment and work life balance. Great culture committed to helping communities and volunteering. Management is supportive.",good peopl good work environ work life balanc great cultur commit help commun volunt manag support,good peopl good work environ and work life balanc great cultur commit to help commun and volunt manag is support,good people good work environment work life balance great culture commit help community volunteer management supportive,good people good work environment and work life balance great culture commit to help community and volunteer management be supportive,POSITIVE
877,"Work life balance. Most of the business lines are operating with keep the lights on mode so work pressure is less. If that is what you are looking for. Limited growth in NY\, you are better off working in London if you want to work with Barclays.",work life balanc busi line oper keep light mode work pressur less look limit growth ny better work london want work barclay,work life balanc most of the busi line are oper with keep the light on mode so work pressur is less If that is what you are look for limit growth in NY you are better off work in london if you want to work with barclay,work life balance business line operate keep light mode work pressure le look limit growth ny better work london want work barclays,work life balance most of the business line be operate with keep the light on mode so work pressure be le if that be what you be look for limit growth in ny you be better off work in london if you want to work with barclays,NEUTRAL
878,"nice HQ\, still some solid products Lot of dead weight still in equity division\, turnover in number of divisions has left thin bench\, management doesn't seemed committed to make investments needed to compete for US share",nice hq still solid product lot dead weight still equiti divis turnov number divis left thin bench manag nt seem commit make invest need compet us share,nice HQ still some solid product lot of dead weight still in equiti divis turnov in number of divis ha left thin bench manag doe nt seem commit to make invest need to compet for US share,nice hq still solid product lot dead weight still equity division turnover number division left thin bench management nt seem commit make investment need compete u share,nice hq still some solid product lot of dead weight still in equity division turnover in number of division ha left thin bench management do nt seem commit to make investment need to compete for u share,NEUTRAL
879,Retaliation for reporting a MD and AVP in RRP for bullying and slander. Reported racial comments and resulted in retaliation and termination.,retali report md avp rrp bulli slander report racial comment result retali termin,retali for report a MD and avp in rrp for bulli and slander report racial comment and result in retali and termin,retaliation report md avp rrp bully slander report racial comment result retaliation termination,retaliation for report a md and avp in rrp for bully and slander report racial comment and result in retaliation and termination,NEGATIVE
880,People are great. Strong brand loyalty despite cut backs and an optimism for the future and what the new CEO can do for the company.,peopl great strong brand loyalti despit cut back optim futur new ceo compani,peopl are great strong brand loyalti despit cut back and an optim for the futur and what the new ceo can do for the compani,people great strong brand loyalty despite cut back optimism future new ceo company,people be great strong brand loyalty despite cut back and an optimism for the future and what the new ceo can do for the company,POSITIVE
881,Outstanding investment bank in the street; Comprehensive market coverage; Flexible working environment; Friendly team and colleagues; Leading technology ; Relatively good pay; Good reputation,outstand invest bank street comprehens market coverag flexibl work environ friendli team colleagu lead technolog rel good pay good reput,outstand invest bank in the street comprehens market coverag flexibl work environ friendli team and colleagu lead technolog rel good pay good reput,outstanding investment bank street comprehensive market coverage flexible work environment friendly team colleague lead technology relatively good pay good reputation,outstanding investment bank in the street comprehensive market coverage flexible work environment friendly team and colleague lead technology relatively good pay good reputation,POSITIVE
882,"Worst company I've ever been employed. Repeated management turnover\, lack of standards\, HR is useless. Worst ever! Folks have not received raised in over 5 years. limited bonus.",worst compani ve ever employ repeat manag turnov lack standard hr useless worst ever folk receiv rais year limit bonu,worst compani I ve ever been employ repeat manag turnov lack of standard HR is useless worst ever folk have not receiv rais in over year limit bonu,worst company ve ever employ repeat management turnover lack standard hr useless worst ever folk receive raise year limit bonus,worst company i ve ever be employ repeat management turnover lack of standard hr be useless worst ever folk have not receive raise in over year limit bonus,NEGATIVE
883,"micro managing\, no chance for job advancement or career opportunities\, long hours",micro manag chanc job advanc career opportun long hour,micro manag no chanc for job advanc or career opportun long hour,micro manage chance job advancement career opportunity long hour,micro manage no chance for job advancement or career opportunity long hour,NEGATIVE
884,"Atmosphere poor\, contractors everywhere\, no one being engaged full-time despite being a bank. Rotten\, rotten place. Avoid.",atmospher poor contractor everywher one engag fulltim despit bank rotten rotten place avoid,atmospher poor contractor everywher no one be engag fulltim despit be a bank rotten rotten place avoid,atmosphere poor contractor everywhere one engage fulltime despite bank rotten rotten place avoid,atmosphere poor contractor everywhere no one be engage fulltime despite be a bank rotten rotten place avoid,NEGATIVE
885,"working with some good people and learning a lot from them. depending on manager work-life balance can be great. decent benefits low pay\, under appreciated by management\, no room for growth.",work good peopl learn lot depend manag worklif balanc great decent benefit low pay appreci manag room growth,work with some good peopl and learn a lot from them depend on manag worklif balanc can be great decent benefit low pay under appreci by manag no room for growth,work good people learn lot depend manager worklife balance great decent benefit low pay appreciate management room growth,work with some good people and learn a lot from them depend on manager worklife balance can be great decent benefit low pay under appreciate by management no room for growth,NEUTRAL
886,"I worked for a startup that was purchased by Barclays UK. Overall the company benefits were good\, and we were able to maintain our agile approach to software development.",work startup purchas barclay uk overal compani benefit good abl maintain agil approach softwar develop,I work for a startup that wa purchas by barclay UK overal the compani benefit were good and we were abl to maintain our agil approach to softwar develop,work startup purchase barclays uk overall company benefit good able maintain agile approach software development,i work for a startup that be purchase by barclays uk overall the company benefit be good and we be able to maintain our agile approach to software development,POSITIVE
887,"Plenty of opportunities as a new equity platform in Asia Too unstable\, rumors spreading on the close down of division all the time",plenti opportun new equiti platform asia unstabl rumor spread close divis time,plenti of opportun as a new equiti platform in asia too unstabl rumor spread on the close down of divis all the time,plenty opportunity new equity platform asia unstable rumor spread close division time,plenty of opportunity a a new equity platform in asia too unstable rumor spread on the close down of division all the time,NEUTRAL
